;;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;time;time;time;time;time;time;time;time;time;time
Token;;GAT(CHECK);GAT(COLL);GAT(COUNT);GAT(GREEDY);GAT(TASK);GATP(CHECK);GATP(COLL);GATP(COUNT);GATP(GREEDY);GATP(TASK);GAT(CHECK);GAT(COLL);GAT(COUNT);GAT(GREEDY);GAT(TASK);GATP(CHECK);GATP(COLL);GATP(COUNT);GATP(GREEDY);GATP(TASK);GAT(CHECK);GAT(COLL);GAT(COUNT);GAT(GREEDY);GAT(TASK);GATP(CHECK);GATP(COLL);GATP(COUNT);GATP(GREEDY);GATP(TASK)
Frenq.;Agentes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.2;10;97764.0;97586.0;97824.0;98066.0;97822.0;90943.0;90929.0;90709.0;94100.0;91026.0;2543.5;2538.0;2541.0;2560.0;2538.0;2541.0;2531.0;2529.5;2549.0;2536.0;5.419;7.205;5.386;0.109;10.413;3.484;4.039;5.629;0.084;7.214
0.2;20;130352.0;130712.0;130678.0;124204.0;130024.0;115015.0;114824.0;114898.0;119638.0;114737.0;2537.5;2530.5;2533.0;2540.0;2534.0;2525.5;2525.0;2524.0;2576.0;2524.5;6.255;8.992;6.341;0.196;7.741;5.183;5.763;5.892;0.095;7.313
0.2;30;160504.0;160515.0;160515.0;148820.0;160746.0;140075.0;140137.0;140059.0;145104.0;140147.0;2537.5;2536.0;2539.5;2538.0;2536.5;2525.5;2524.5;2521.5;2555.0;2526.5;7.454;10.943;8.976;0.204;9.699;7.497;9.755;6.979;0.108;5.542
0.2;40;188070.0;186422.0;188051.0;176578.0;187457.0;165321.0;165374.0;165560.0;171390.0;165651.0;2532.5;2535.0;2536.0;2552.0;2529.0;2525.0;2518.0;2525.0;2563.0;2526.0;8.491;19.135;8.416;0.168;10.35;5.451;18.228;4.925;0.119;11.722
0.2;50;216532.0;215495.0;216384.0;201634.0;215646.0;191042.0;190905.0;191171.0;198856.0;191036.0;2534.5;2537.5;2534.0;2556.0;2535.5;2525.0;2522.5;2526.5;2594.0;2525.0;13.697;20.532;11.183;0.16;14.157;7.335;19.497;7.025;0.135;9.964
0.5;10;75020.0;74882.0;75156.0;74818.0;75010.0;75222.0;75287.0;74987.0;74738.0;75448.0;1317.0;1309.0;1317.5;1319.0;1316.5;1328.0;1330.5;1315.5;1319.0;1336.5;32.658;53.587;23.479;0.236;28.323;38.489;66.207;30.381;0.34;44.892
0.5;20;96985.0;97166.0;97070.0;93720.0;97203.0;89294.0;89204.0;89189.0;88396.0;89541.0;1067.0;1066.5;1065.0;1083.0;1066.5;1063.5;1061.5;1059.5;1073.0;1063.0;18.012;47.043;17.433;0.216;33.064;13.033;18.127;12.548;0.108;14.127
0.5;30;116846.0;116587.0;116486.0;104402.0;115848.0;98846.0;98927.0;99018.0;99956.0;98952.0;1065.0;1066.5;1064.5;1066.0;1064.0;1053.0;1048.0;1049.0;1093.0;1045.0;22.118;40.228;27.656;0.199;21.943;8.989;9.826;10.092;0.09;11.757
0.5;40;130457.0;130788.0;130415.0;114608.0;130324.0;109380.0;109513.0;109386.0;110268.0;109363.0;1065.0;1067.5;1068.0;1081.0;1066.5;1049.0;1046.0;1049.0;1079.0;1051.0;20.309;45.353;20.171;0.212;29.289;6.392;12.091;10.964;0.117;13.992
0.5;50;145135.0;145029.0;143753.0;127312.0;144765.0;119659.0;119876.0;119544.0;123196.0;119941.0;1064.0;1069.5;1068.0;1092.0;1066.0;1046.0;1045.5;1039.0;1112.0;1048.5;23.368;44.772;23.49;0.232;32.724;8.212;21.842;8.908;0.123;13.46
1;10;71543.0;71450.0;71407.0;71564.0;71452.0;71881.0;71797.0;71807.0;71386.0;71839.0;1208.0;1209.0;1202.5;1222.0;1202.5;1230.0;1228.0;1218.0;1209.0;1222.5;36.302;81.393;46.163;6.539;48.36;53.69;104.047;52.943;7.101;66.686
1;20;77811.0;77772.0;77893.0;77780.0;77624.0;78619.0;78422.0;78373.0;76950.0;78389.0;717.0;717.5;718.5;747.0;711.5;736.5;733.0;729.5;702.0;734.0;47.608;134.694;40.795;0.373;68.649;66.349;174.346;65.54;0.536;66.538
1;30;87864.0;88078.0;87726.0;86374.0;87835.0;87245.0;87402.0;87458.0;83956.0;87170.0;598.5;601.0;600.5;583.0;595.0;597.5;602.5;599.5;577.0;602.0;59.916;119.79;38.867;0.332;49.276;48.464;93.536;47.99;0.1;58.782
1;40;100960.0;100676.0;101023.0;94130.0;100818.0;94786.0;94327.0;94872.0;90638.0;94918.0;582.0;579.5;580.0;584.0;583.5;578.0;577.0;578.0;598.0;583.5;48.563;112.125;56.565;0.603;49.561;14.785;37.012;23.968;0.158;26.776
1;50;113279.0;113253.0;113605.0;100316.0;113395.0;100540.0;100557.0;99879.0;97188.0;99622.0;580.0;579.0;578.5;583.0;581.0;577.0;582.5;572.0;585.0;570.5;63.538;143.856;40.942;0.365;58.322;17.705;21.77;16.945;0.175;24.684
10;10;70666.0;70442.0;70619.0;70480.0;70486.0;71234.0;71157.0;71189.0;71484.0;71153.0;1197.5;1188.5;1190.0;1172.0;1182.5;1210.0;1204.0;1211.0;1219.0;1210.5;6.983;17.565;7.243;2.684;12.368;8.268;17.82;12.377;4.288;13.765
10;20;73295.0;73209.0;73418.0;72518.0;73256.0;74458.0;74739.0;74542.0;76684.0;74616.0;645.0;652.5;656.5;618.0;648.5;672.5;682.5;676.0;763.0;677.0;8.58;19.626;8.97;2.284;11.414;9.17;21.886;9.876;3.748;12.523
10;30;76211.0;76141.0;76370.0;77388.0;76268.0;77631.0;77637.0;77820.0;79252.0;78099.0;477.5;478.5;477.5;508.0;474.0;491.0;490.0;505.0;530.0;506.0;9.854;30.65;10.213;1.987;13.472;10.506;34.65;10.809;3.342;15.209
10;40;79556.0;79111.0;79466.0;79890.0;79400.0;80720.0;80935.0;80865.0;80290.0;80342.0;397.0;384.0;396.5;422.0;395.5;407.5;408.0;404.0;390.0;399.5;11.114;42.179;11.497;1.719;15.51;12.96;47.89;13.683;2.95;24.905
10;50;81745.0;81845.0;81788.0;80238.0;81947.0;84123.0;83958.0;84233.0;85870.0;84377.0;330.5;331.5;333.0;306.0;339.0;349.5;350.0;355.0;368.0;353.0;12.714;55.207;13.091;1.517;17.62;13.785;61.949;14.065;1.648;20.052
2;10;70904.0;70951.0;70918.0;70928.0;70986.0;71259.0;71291.0;71139.0;71932.0;71189.0;1194.5;1193.0;1194.0;1179.0;1202.5;1214.5;1215.5;1200.0;1241.0;1208.5;25.424;63.836;26.264;9.461;40.906;39.185;67.653;42.218;10.604;53.388
2;20;74433.0;74367.0;74398.0;74176.0;74400.0;75026.0;74722.0;75191.0;75652.0;74972.0;668.0;665.5;666.5;663.0;665.5;687.0;672.0;691.5;702.0;686.0;27.757;79.283;45.577;3.856;36.766;44.44;134.743;37.61;4.29;56.684
2;30;78299.0;78260.0;78063.0;78568.0;78524.0;79601.0;79808.0;79362.0;79614.0;79193.0;499.0;491.5;491.5;510.0;495.5;513.0;518.5;511.5;527.0;508.0;31.595;151.691;32.298;1.331;41.198;48.451;193.302;48.945;1.722;66.405
2;40;83620.0;83226.0;83130.0;81980.0;83092.0;84378.0;84227.0;84629.0;81334.0;84986.0;424.0;422.5;418.5;416.0;421.5;435.0;437.0;437.5;396.0;447.5;35.35;169.317;35.215;0.557;44.618;60.752;184.791;58.897;0.618;79.238
2;50;87996.0;88495.0;88014.0;86412.0;88375.0;88995.0;89699.0;89462.0;85892.0;89556.0;376.0;375.0;372.0;382.0;380.5;383.0;385.5;385.5;366.0;391.0;37.37;131.487;37.843;0.382;46.77;58.432;168.236;58.723;0.298;63.962
5;10;70527.0;70495.0;70535.0;70640.0;70749.0;71146.0;71012.0;70988.0;71724.0;71046.0;1182.5;1177.5;1181.5;1192.0;1197.0;1210.5;1197.5;1189.5;1256.0;1206.0;13.11;19.694;21.335;4.366;16.198;19.515;29.332;22.886;7.176;22.378
5;20;73322.0;73681.0;73812.0;73444.0;73437.0;74337.0;74247.0;74437.0;74830.0;74505.0;651.0;663.0;662.0;664.0;649.5;673.5;665.5;671.0;684.0;675.0;15.087;37.008;15.735;3.25;20.223;19.837;57.384;27.699;5.533;31.027
5;30;76598.0;76972.0;76267.0;76680.0;76479.0;77519.0;77823.0;77652.0;78090.0;77552.0;477.5;486.5;468.0;471.0;477.0;494.5;498.5;494.5;495.0;492.0;17.04;58.076;18.004;2.479;23.624;31.787;94.9;26.475;4.367;34.395
5;40;80057.0;79398.0;79989.0;80636.0;79751.0;80955.0;80936.0;80952.0;80234.0;80751.0;399.5;386.5;393.0;404.0;388.5;412.0;411.0;404.5;394.0;401.0;19.197;77.081;19.997;1.761;27.181;32.469;119.342;34.532;3.303;42.236
5;50;82816.0;82778.0;82923.0;83646.0;82793.0;84643.0;84119.0;84030.0;83468.0;84245.0;339.0;339.5;340.5;355.0;342.5;362.5;355.5;353.5;344.0;355.0;21.801;97.214;22.027;1.408;29.926;35.376;149.056;36.818;2.191;51.435
