;;Energia;Energia;Energia;Energia;Energia;Energia;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan
Token;;GAT(CHECK);GAT(COUNT);GAT(GREEDY);GATP(CHECK);GATP(COUNT);GATP(GREEDY);GAT(CHECK);GAT(COUNT);GAT(GREEDY);GATP(CHECK);GATP(COUNT);GATP(GREEDY)
Nº Agentes;Frenquência;;;;;;;;;;;;
10;0.2;0.484;0.492;0.468;0.44;0.439;0.453;2540.5;2539.5;2560.0;2518.0;2519.5;2549.0
10;0.5;0.386;0.387;0.383;0.383;0.386;0.382;1348.5;1344.0;1319.0;1315.5;1364.5;1319.0
10;1;0.37;0.371;0.37;0.371;0.372;0.37;1206.0;1226.5;1222.0;1204.5;1219.5;1209.0
10;10;0.367;0.365;0.366;0.369;0.369;0.37;1198.0;1160.0;1172.0;1223.5;1228.5;1219.0
10;2;0.369;0.368;0.368;0.369;0.37;0.372;1190.0;1173.5;1179.0;1214.5;1229.0;1241.0
10;5;0.366;0.367;0.367;0.368;0.367;0.371;1187.0;1212.5;1192.0;1185.0;1178.0;1256.0
10;500;0.363;0.363;0.363;0.363;0.363;0.363;1133.0;1133.0;1133.0;1133.0;1133.0;1133.0
20;0.2;0.63;0.633;0.565;0.533;0.533;0.548;2537.5;2534.0;2540.0;2520.5;2522.0;2576.0
20;0.5;0.479;0.479;0.455;0.44;0.442;0.434;1081.5;1085.0;1083.0;1065.0;1052.5;1073.0
20;1;0.401;0.402;0.396;0.402;0.403;0.393;730.5;742.5;747.0;768.0;754.5;702.0
20;10;0.379;0.379;0.376;0.386;0.382;0.392;646.0;655.5;618.0;704.5;661.5;763.0
20;2;0.384;0.386;0.382;0.391;0.388;0.388;680.0;675.5;663.0;712.0;696.0;702.0
20;5;0.381;0.379;0.379;0.385;0.387;0.385;656.5;645.5;664.0;692.0;697.0;684.0
20;500;0.377;0.377;0.377;0.377;0.377;0.377;638.0;638.0;638.0;638.0;638.0;638.0
30;0.2;0.756;0.761;0.657;0.623;0.624;0.643;2536.5;2532.0;2538.0;2524.5;2522.0;2555.0
30;0.5;0.59;0.59;0.495;0.472;0.474;0.477;1066.0;1069.0;1066.0;1038.5;1057.5;1093.0
30;1;0.444;0.448;0.431;0.436;0.437;0.42;620.5;641.5;583.0;611.5;611.0;577.0
30;10;0.396;0.392;0.397;0.399;0.399;0.404;486.0;471.5;508.0;506.0;490.5;530.0
30;2;0.404;0.407;0.401;0.412;0.407;0.405;516.5;515.5;510.0;537.0;526.0;527.0
30;5;0.397;0.398;0.394;0.398;0.4;0.4;496.5;487.0;471.0;499.5;506.0;495.0
30;500;0.386;0.386;0.386;0.386;0.386;0.386;450.0;450.0;450.0;450.0;450.0;450.0
40;0.2;0.866;0.88;0.761;0.719;0.719;0.741;2533.5;2536.5;2552.0;2518.5;2519.0;2563.0
40;0.5;0.668;0.679;0.532;0.511;0.511;0.516;1058.5;1070.5;1081.0;1030.0;1038.5;1079.0
40;1;0.5;0.5;0.46;0.465;0.469;0.446;593.5;611.0;584.0;575.0;601.5;598.0
40;10;0.408;0.408;0.409;0.417;0.412;0.41;393.0;393.5;422.0;416.5;399.0;390.0
40;2;0.426;0.431;0.416;0.425;0.431;0.414;436.0;441.0;416.0;441.0;450.5;396.0
40;5;0.407;0.412;0.412;0.415;0.414;0.41;392.0;400.5;404.0;417.0;406.0;394.0
40;500;0.407;0.397;0.397;0.407;0.397;0.397;397.5;379.0;379.0;397.5;379.0;379.0
50;0.2;0.979;0.981;0.854;0.814;0.815;0.843;2539.0;2534.5;2556.0;2520.5;2521.5;2594.0
50;0.5;0.763;0.766;0.58;0.551;0.551;0.565;1069.5;1064.0;1092.0;1031.0;1041.5;1112.0
50;1;0.557;0.558;0.483;0.482;0.48;0.471;577.5;577.5;583.0;553.0;547.0;585.0
50;10;0.422;0.42;0.412;0.434;0.429;0.435;344.5;334.0;306.0;371.5;350.0;368.0
50;2;0.453;0.45;0.434;0.447;0.455;0.433;394.0;393.0;382.0;392.0;400.0;366.0
50;5;0.426;0.423;0.425;0.431;0.434;0.424;346.5;344.0;355.0;362.0;378.0;344.0
50;500;0.405;0.405;0.405;0.405;0.405;0.405;290.0;290.0;290.0;290.0;290.0;290.0
